Wall time,Step,Value
1746740496.9099002,178,-30.450050354003906
1746740498.7224782,179,-30.450050354003906
1746740500.539424,180,-36.90169906616211
1746740502.3751128,181,-36.90169906616211
1746740504.1975837,182,-36.90169906616211
1746740506.0309956,183,-36.90169906616211
1746740507.8912525,184,-36.90169906616211
1746740509.7906194,185,-36.90169906616211
1746740511.709309,186,-36.940399169921875
1746740513.5403523,187,-36.940399169921875
1746740515.443403,188,-36.940399169921875
1746740517.2895443,189,-36.940399169921875
1746740519.147666,190,-36.940399169921875
1746740520.973689,191,-36.90169906616211
1746740522.8167942,192,-36.940399169921875
1746740524.6276538,193,-37.03229904174805
1746740526.450501,194,-37.03229904174805
1746740528.268395,195,-37.03229904174805
1746740530.0051727,196,-12.933699607849121
1746740531.82991,197,-37.03229904174805
1746740533.6392093,198,-37.03229904174805
1746740535.441679,199,-24.187950134277344
1746740537.2365835,200,-20.091949462890625
1746740539.0905867,201,-18.28005027770996
1746740540.8731804,202,-15.325900077819824
1746740542.6645315,203,-14.461950302124023
1746740544.4368534,204,-14.204000473022461
1746740546.2094152,205,-14.165949821472168
1746740547.9740093,206,-14.16604995727539
1746740549.7529671,207,-13.248950004577637
1746740551.5274642,208,-12.622750282287598
1746740553.3227756,209,-12.866350173950195
1746740555.0923479,210,-12.656800270080566
1746740556.8832824,211,-12.950650215148926
1746740558.671359,212,-13.107000350952148
1746740560.4610515,213,-13.240150451660156
1746740562.2604234,214,-12.857199668884277
1746740564.0835223,215,-12.876999855041504
1746740565.8592863,216,-13.191949844360352
1746740567.6320772,217,-12.345849990844727
1746740569.4859185,218,-12.195099830627441
1746740571.279437,219,-14.086299896240234
1746740573.083732,220,-14.086299896240234
1746740574.8434525,221,-11.689499855041504
1746740576.680248,222,-11.248900413513184
1746740578.4423478,223,-10.937199592590332
1746740580.1995568,224,-11.248900413513184
1746740582.026671,225,-10.779000282287598
1746740583.7820084,226,-10.950149536132812
1746740585.5336056,227,-11.771699905395508
1746740587.2827096,228,-10.990449905395508
1746740589.0387232,229,-10.918549537658691
1746740590.7956362,230,-10.688150405883789
1746740592.5474243,231,-10.704000473022461
1746740594.384557,232,-10.937399864196777
1746740596.1411066,233,-10.688150405883789
1746740597.8905969,234,-10.879850387573242
1746740599.6286385,235,-10.70715045928955
1746740601.373573,236,-10.879850387573242
1746740603.1410804,237,-10.879850387573242
1746740604.903687,238,-10.70715045928955
1746740606.6728642,239,-10.842249870300293
1746740608.4623983,240,-10.70715045928955
1746740610.2305312,241,-10.694600105285645
1746740611.9944444,242,-10.879850387573242
1746740613.761947,243,-10.688150405883789
1746740615.5196617,244,-11.193900108337402
1746740617.2812777,245,-10.722399711608887
1746740619.0544667,246,-10.583649635314941
1746740620.8147662,247,-11.193900108337402
1746740622.576778,248,-11.193900108337402
1746740624.4362297,249,-10.716050148010254
1746740626.1937375,250,-11.193900108337402
1746740627.947467,251,-10.014049530029297
1746740629.720941,252,-9.829700469970703
1746740631.4719322,253,-9.857549667358398
1746740633.258165,254,-9.98550033569336
1746740635.0082805,255,-9.77554988861084
1746740636.7728484,256,-9.990900039672852
1746740638.5476382,257,-10.153650283813477
1746740640.3712318,258,-9.77554988861084
1746740642.2445648,259,-9.637999534606934
1746740644.0455678,260,-10.225950241088867
1746740645.9837017,261,-10.153650283813477
1746740647.756212,262,-9.89229965209961
1746740649.5157316,263,-9.829549789428711
1746740651.2775266,264,-9.89229965209961
1746740653.043531,265,-9.862549781799316
1746740654.8127913,266,-10.119850158691406
1746740656.6568189,267,-9.75730037689209
1746740658.4087183,268,-9.829549789428711
1746740660.16808,269,-10.00844955444336
1746740661.9183133,270,-9.955400466918945
1746740663.6707249,271,-10.040550231933594
1746740665.428423,272,-10.54419994354248
1746740667.1949542,273,-10.637849807739258
1746740668.9589722,274,-10.676799774169922
1746740670.7290385,275,-10.190449714660645
1746740672.48779,276,-9.817399978637695
1746740674.2390652,277,-10.109950065612793
1746740676.07931,278,-9.778800010681152
1746740677.8502755,279,-10.109950065612793
1746740679.6153526,280,-10.109950065612793
1746740681.371558,281,-9.930649757385254
1746740683.1410472,282,-9.759050369262695
1746740684.922599,283,-10.172599792480469
1746740686.689977,284,-10.109950065612793
1746740688.467149,285,-10.418700218200684
1746740690.234174,286,-10.109950065612793
1746740692.0078716,287,-10.211099624633789
1746740693.7603498,288,-10.347249984741211
1746740695.5275857,289,-10.443249702453613
1746740697.2911847,290,-10.060600280761719
1746740699.0543718,291,-10.384650230407715
1746740700.8198023,292,-10.443249702453613
1746740702.5884137,293,-10.608949661254883
1746740704.3642023,294,-10.129300117492676
1746740706.1242988,295,-9.929300308227539
1746740707.9020107,296,-10.256999969482422
1746740709.7167878,297,-10.44159984588623
1746740711.4761858,298,-10.443249702453613
1746740713.3049035,299,-9.879300117492676
1746740715.0943604,300,-10.476400375366211
1746740716.863545,301,-9.759050369262695
1746740718.6420016,302,-10.109950065612793
1746740720.4724977,303,-10.109950065612793
1746740722.2577994,304,-10.418700218200684
1746740724.029581,305,-10.235799789428711
1746740725.7854214,306,-10.043700218200684
1746740727.550105,307,-10.043700218200684
1746740729.2977657,308,-9.751049995422363
1746740731.0558026,309,-9.99524974822998
1746740732.8081737,310,-10.043700218200684
1746740734.6215675,311,-9.817049980163574
1746740736.384727,312,-10.030850410461426
1746740738.134052,313,-9.751049995422363
1746740739.8960974,314,-9.93904972076416
1746740741.5909429,315,-4.050899982452393
1746740743.3624334,316,-9.99524974822998
1746740745.1451306,317,-9.99524974822998
1746740746.9068112,318,-9.777950286865234
1746740748.681571,319,-9.787850379943848
1746740750.4519684,320,-9.62440013885498
1746740752.2050204,321,-9.986149787902832
1746740753.990127,322,-9.674599647521973
1746740755.7443402,323,-9.601349830627441
1746740757.5035667,324,-9.70775032043457
1746740759.2594004,325,-9.803350448608398
1746740761.0212839,326,-9.686100006103516
1746740762.8382964,327,-9.593950271606445
1746740764.6089919,328,-9.601349830627441
1746740766.3750794,329,-10.032299995422363
1746740768.2125936,330,-9.592399597167969
1746740770.0144777,331,-9.681500434875488
1746740771.7589014,332,-9.787850379943848
1746740773.5056634,333,-8.612199783325195
1746740775.270568,334,-9.593950271606445
1746740777.0541005,335,-9.592399597167969
1746740778.8046849,336,-9.592399597167969
1746740780.6124117,337,-9.719599723815918
1746740782.376783,338,-9.592399597167969
1746740784.1242197,339,-9.719599723815918
1746740785.8834417,340,-9.601349830627441
1746740787.6456115,341,-9.803350448608398
1746740789.40384,342,-9.803350448608398
1746740791.165096,343,-9.719599723815918
1746740792.920347,344,-9.635049819946289
1746740794.6837807,345,-9.601349830627441
1746740796.4475439,346,-9.868000030517578
1746740798.2189922,347,-9.876299858093262
1746740799.9803782,348,-9.719599723815918
1746740801.7407336,349,-8.674650192260742
1746740803.4998481,350,-9.876299858093262
1746740805.2633314,351,-8.792949676513672
1746740807.0317554,352,-8.674650192260742
1746740808.8094044,353,-8.713000297546387
1746740810.5762033,354,-9.495849609375
1746740812.4366355,355,-9.495849609375
1746740814.2367363,356,-8.73034954071045
1746740816.0050972,357,-9.665949821472168
1746740817.7853642,358,-9.589750289916992
1746740819.5397322,359,-9.495849609375
1746740821.3562264,360,-8.532449722290039
1746740823.2138836,361,-9.589750289916992
1746740825.0281756,362,-8.67140007019043
1746740826.7774377,363,-8.919400215148926
1746740828.5397458,364,-9.589750289916992
1746740830.2981465,365,-9.246700286865234
1746740832.1206057,366,-8.674650192260742
1746740833.8743284,367,-8.67140007019043
1746740835.6285622,368,-8.350250244140625
1746740837.4108977,369,-8.67140007019043
1746740839.1919308,370,-8.753849983215332
1746740840.9492395,371,-8.989150047302246
1746740842.7259057,372,-8.59844970703125
1746740844.4926276,373,-8.730549812316895
1746740846.2613342,374,-9.495849609375
1746740848.0315838,375,-9.277700424194336
1746740849.7903092,376,-9.495849609375
1746740851.5412998,377,-8.79104995727539
1746740853.2952123,378,-8.840999603271484
1746740855.0751767,379,-9.803999900817871
1746740856.8278854,380,-9.561349868774414
1746740858.5816674,381,-9.594949722290039
1746740860.3348992,382,-10.492799758911133
1746740862.0753443,383,-9.700550079345703
1746740863.817523,384,-9.806699752807617
1746740865.5749304,385,-9.996350288391113
1746740867.360458,386,-10.103850364685059
1746740869.1246052,387,-10.195799827575684
1746740870.8905957,388,-10.233550071716309
1746740872.6488187,389,-10.21679973602295
1746740874.4146364,390,-10.233550071716309
1746740876.1813877,391,-10.16724967956543
1746740877.9550056,392,-10.256600379943848
1746740879.8261485,393,-10.017399787902832
1746740881.5702307,394,-10.030200004577637
1746740883.4035728,395,-10.170700073242188
1746740885.2003517,396,-9.9483003616333
1746740886.9548805,397,-9.816149711608887
1746740888.703107,398,-10.080650329589844
1746740890.4625587,399,-10.076250076293945
1746740892.2232285,400,-10.031450271606445
1746740894.0697474,401,-10.463549613952637
1746740895.8443322,402,-10.229949951171875
1746740897.6275272,403,-10.249950408935547
1746740899.3861833,404,-10.970399856567383
1746740901.174315,405,-10.693249702453613
1746740902.9704115,406,-10.200799942016602
1746740904.730336,407,-10.681300163269043
1746740906.4854991,408,-10.40095043182373
1746740908.267202,409,-10.359550476074219
1746740910.0222604,410,-10.40095043182373
1746740911.7930038,411,-10.681300163269043
1746740913.5523207,412,-10.681300163269043
1746740915.3239698,413,-10.365300178527832
1746740917.1305416,414,-10.365300178527832
1746740918.896442,415,-10.081850051879883
1746740920.6762412,416,-10.639900207519531
1746740922.4297538,417,-10.639900207519531
1746740924.2039752,418,-10.385199546813965
1746740925.9741993,419,-10.405200004577637
1746740927.7863476,420,-10.385199546813965
1746740929.6230893,421,-10.385199546813965
1746740931.3779361,422,-10.405200004577637
1746740933.1939385,423,-10.405200004577637
1746740934.9611502,424,-10.405200004577637
1746740936.7429776,425,-10.405200004577637
1746740938.5105584,426,-10.405200004577637
1746740940.314709,427,-10.405200004577637
1746740942.0706801,428,-10.416350364685059
1746740943.826942,429,-10.405200004577637
1746740945.5836298,430,-10.405200004577637
1746740947.3508725,431,-10.805549621582031
1746740949.1430538,432,-10.405200004577637
1746740950.9668145,433,-10.416350364685059
1746740952.7511094,434,-10.405200004577637
1746740954.583574,435,-10.405200004577637
1746740956.3603108,436,-10.405200004577637
1746740958.1602836,437,-10.405200004577637
1746740960.015295,438,-10.405200004577637
1746740961.937729,439,-10.405200004577637
1746740963.8060718,440,-10.405200004577637
1746740965.6764696,441,-10.058899879455566
1746740967.520194,442,-10.405200004577637
1746740969.3253512,443,-9.990099906921387
1746740971.143905,444,-9.998000144958496
1746740972.914224,445,-10.405200004577637
1746740974.7070644,446,-10.405200004577637
1746740976.489825,447,-10.405200004577637
1746740978.4250453,448,-10.405200004577637
1746740980.2719316,449,-10.405200004577637
1746740982.0896306,450,-10.405200004577637
1746740983.9613838,451,-10.405200004577637
1746740985.830584,452,-10.405200004577637
1746740987.6018662,453,-10.405200004577637
1746740989.3703494,454,-10.405200004577637
1746740991.183846,455,-10.405200004577637
1746740993.0560474,456,-10.405200004577637
1746740994.8167384,457,-10.405200004577637
1746740996.6246107,458,-10.405200004577637
1746740998.3756957,459,-10.02280044555664
1746741000.1467483,460,-10.405200004577637
1746741001.9304018,461,-10.05780029296875
1746741003.7324948,462,-10.405200004577637
1746741005.4898586,463,-10.405200004577637
1746741007.2568686,464,-10.405200004577637
1746741009.0309875,465,-10.405200004577637
1746741010.7898147,466,-10.405200004577637
1746741012.5783012,467,-10.339150428771973
1746741014.3276749,468,-10.405200004577637
1746741016.0796769,469,-10.405200004577637
1746741017.8455908,470,-10.405200004577637
1746741019.5986094,471,-10.416350364685059
1746741021.3651454,472,-10.405200004577637
1746741023.1236987,473,-10.416350364685059
1746741024.8818796,474,-10.405200004577637
1746741026.6711724,475,-10.416350364685059
1746741028.447462,476,-10.500200271606445
1746741030.2043686,477,-10.405200004577637
1746741032.065291,478,-10.405200004577637
1746741033.8864589,479,-9.70365047454834
1746741035.685411,480,-10.416350364685059
1746741037.502192,481,-10.416350364685059
1746741039.2709463,482,-10.416350364685059
1746741041.0629115,483,-9.82040023803711
1746741042.9020083,484,-10.42490005493164
1746741044.734401,485,-10.013750076293945
1746741046.53707,486,-9.769450187683105
1746741048.3061228,487,-10.006349563598633
1746741050.2092314,488,-10.662850379943848
1746741052.0344176,489,-11.072850227355957
1746741053.847122,490,-10.093950271606445
1746741055.8240921,491,-9.996800422668457
1746741057.6209226,492,-10.006349563598633
1746741059.4947855,493,-9.362299919128418
1746741061.3250637,494,-9.784099578857422
1746741063.2546287,495,-10.513850212097168
1746741065.0864289,496,-10.11085033416748
1746741066.9055545,497,-9.359199523925781
1746741068.7208471,498,-9.712650299072266
1746741070.6443071,499,-9.359800338745117
1746741072.5019681,500,-10.359049797058105
1746741074.3607984,501,-9.602999687194824
1746741076.1912637,502,-10.701849937438965
1746741078.056268,503,-9.95199966430664
1746741079.8830018,504,-10.073800086975098
1746741081.7650046,505,-10.701849937438965
1746741083.5895476,506,-9.576000213623047
1746741085.4816327,507,-9.533949851989746
1746741087.3031292,508,-12.196700096130371
1746741089.1322415,509,-11.011099815368652
1746741091.0515819,510,-11.011099815368652
1746741092.8838458,511,-10.947850227355957
1746741094.7772872,512,-10.886249542236328
1746741096.5857933,513,-10.947850227355957
1746741098.4942982,514,-11.778300285339355
1746741100.4629235,515,-10.886249542236328
1746741102.3700352,516,-10.886249542236328
1746741104.2098665,517,-10.886249542236328
1746741106.0903616,518,-10.886249542236328
1746741107.8954997,519,-10.886249542236328
1746741109.7653697,520,-10.886249542236328
1746741111.751964,521,-10.947850227355957
1746741113.6312408,522,-10.903800010681152
1746741115.5071647,523,-10.886249542236328
1746741117.4603133,524,-10.886249542236328
